Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure
2007-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30077,,litres
2007-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,29449,,litres
2007-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36777,,litres
2007-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,35755,,litres
2007-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,31896,,litres
2007-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,25224,,litres
2007-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,37601,,litres
2008-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,27326,,litres
2008-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,21574,,litres
2008-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,26214,,litres
2008-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,32745,,litres
2008-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,25445,,litres
2008-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,32107,,litres
2008-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,39812,,litres
2008-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,38285,,litres
2008-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36741,,litres
2008-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,31446,,litres
2008-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,25243,,litres
2008-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,33015,,litres
2009-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,29292,,litres
2009-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,22152,,litres
2009-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,20817,,litres
2009-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,28998,,litres
2009-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,33356,,litres
2009-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,34514,,litres
2009-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,32417,,litres
2009-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,37963,,litres
2009-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30912,,litres
2009-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,29516,,litres
2009-11-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,24547,,litres
2009-12-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,56042,,litres
2010-01-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,28132,,litres
2010-02-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,21105,,litres
2010-03-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,20834,,litres
2010-04-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,27516,,litres
2010-05-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,26591,,litres
2010-06-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30479,,litres
2010-07-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,36020,,litres
2010-08-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,35144,,litres
2010-09-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,32352,,litres
2010-10-01,-67.6026944444,62.8738055556,Mawson,Fuel usage,30210,,litres
