Date,Latitude,Longitude,Place,Parameter,Value,Unit of measure
2007-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,90571.0,kWh
2007-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,80305.0,kWh
2007-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,75449.0,kWh
2007-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,62826.0,kWh
2007-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,88676.0,kWh
2007-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,85981.0,kWh
2007-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,76809.0,kWh
2007-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,112781.0,kWh
2008-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,82907.0,kWh
2008-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,63367.0,kWh
2008-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,73804.0,kWh
2008-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,90628.0,kWh
2008-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,68962.0,kWh
2008-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,76519.0,kWh
2008-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,106860.0,kWh
2008-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,96750.0,kWh
2008-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,94375.0,kWh
2008-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,86962.0,kWh
2008-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,70942.0,kWh
2008-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,100425.0,kWh
2009-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,91949.0,kWh
2009-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,75518.0,kWh
2009-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,59851.0,kWh
2009-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,82341.0,kWh
2009-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,99844.0,kWh
2009-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,102800.0,kWh
2009-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,102548.0,kWh
2009-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,113652.0,kWh
2009-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,92585.0,kWh
2009-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,91088.0,kWh
2009-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,74096.0,kWh
2009-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,15005.0,kWh
2010-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,62785.0,kWh
2010-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,40010.0,kWh
2010-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,55219.0,kWh
2010-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,81130.0,kWh
2010-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,72648.0,kWh
2010-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,86337.0,kWh
2010-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,96318.0,kWh
2010-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,100563.0,kWh
2010-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,95057.0,kWh
2010-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,90676.0,kWh
2010-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,93361.0,kWh
2010-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,69394.0,kWh
2011-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,76358.0,kWh
2011-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,76580.0,kWh
2011-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,80659.0,kWh
2011-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,103351.0,kWh
2011-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,118705.0,kWh
2011-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,103423.0,kWh
2011-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,116278.0,kWh
2011-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,94604.0,kWh
2011-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,105516.0,kWh
2011-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,126780.0,kWh
2011-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,92203.0,kWh
2011-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,107910.0,kWh
2012-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,83209.0,kWh
2012-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,68022.0,kWh
2012-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,84057.0,kWh
2012-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,110077.0,kWh
2012-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,121215.0,kWh
2012-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,105476.0,kWh
2012-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,122837.0,kWh
2012-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,109183.0,kWh
2012-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,112144.0,kWh
2012-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,115189.0,kWh
2012-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,76173.0,kWh
2012-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,86123.0,kWh
2013-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,70102.0,kWh
2013-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,72344.0,kWh
2013-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,92241.0,kWh
2013-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,101461.0,kWh
2013-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,117848.0,kWh
2013-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,107577.0,kWh
2013-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,106896.0,kWh
2013-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,98738.0,kWh
2013-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,86710.0,kWh
2013-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,84054.0,kWh
2013-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,109484.0,kWh
2013-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,129031.0,kWh
2014-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,91568.0,kWh
2014-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,61993.0,kWh
2014-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,75925.0,kWh
2014-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,57497.0,kWh
2014-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,71246.0,kWh
2014-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,90038.0,kWh
2014-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,84856.0,kWh
2014-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,66928.0,kWh
2014-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,53178.0,kWh
2014-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,60301.0,kWh
2014-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,64722.0,kWh
2014-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,58538.0,kWh
2015-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,71071.0,kWh
2015-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,55693.0,kWh
2015-03-01,-67.60269444,62.87380556,Mawson,Station electricity usage,65291.0,kWh
2015-04-01,-67.60269444,62.87380556,Mawson,Station electricity usage,78051.0,kWh
2015-05-01,-67.60269444,62.87380556,Mawson,Station electricity usage,133034.0,kWh
2015-06-01,-67.60269444,62.87380556,Mawson,Station electricity usage,92603.0,kWh
2015-07-01,-67.60269444,62.87380556,Mawson,Station electricity usage,134418.0,kWh
2015-08-01,-67.60269444,62.87380556,Mawson,Station electricity usage,99657.0,kWh
2015-09-01,-67.60269444,62.87380556,Mawson,Station electricity usage,89104.0,kWh
2015-10-01,-67.60269444,62.87380556,Mawson,Station electricity usage,78649.0,kWh
2015-11-01,-67.60269444,62.87380556,Mawson,Station electricity usage,77277.0,kWh
2015-12-01,-67.60269444,62.87380556,Mawson,Station electricity usage,80210.0,kWh
2016-01-01,-67.60269444,62.87380556,Mawson,Station electricity usage,77620.0,kWh
2016-02-01,-67.60269444,62.87380556,Mawson,Station electricity usage,65859.0,kWh
